Modelo,MSE,MAE,R²,Cross-Validation MSE,Cross-Validation MSE (± Desvio),Cross-Validation MAE,Cross-Validation MAE (± Desvio),Cross-Validation R²,Cross-Validation R² (± Desvio)
XGBoost,8500454400.0,75806.75,-1.19,9209779404.8,± 726278286.68,80638.6,± 3439.89,-0.9,± 0.18
SVR (Kernel RBF),5085748341.65,38974.92,-0.31,6507239652.68,± 1295069466.77,48991.97,± 6340.42,-0.33,± 0.17
SVR (Kernel Polinomial),5085828861.84,38975.29,-0.31,6507345183.77,± 1295143022.66,48992.28,± 6340.52,-0.33,± 0.17
SVR (Kernel Linear),5086072592.41,38975.27,-0.31,6434647011.29,± 1085387237.40,49211.91,± 6392.21,-0.32,± 0.16
Random Forest,7405960032.91,72215.17,-0.91,8566059189.06,± 858310200.46,78423.84,± 4477.93,-0.76,± 0.12
Árvore de Decisão,8525193206.32,75914.27,-1.2,9222714941.52,± 722999415.53,80693.05,± 3422.62,-0.91,± 0.18
Regressão Linear,4162255539.84,55423.35,-0.07,5247017081.79,± 759704147.50,61695.36,± 4546.37,-0.07,± 0.03
